K,Fl,F,L,P,Cz,Key,Tempo,Signature
1,49,—,366,57,6,D minor,Allegro,C
2,50,—,388,58,7,G major,Presto,3/8
3,51,—,378,59,8,A minor,Presto,¢
4,52,—,390,60,9,G minor,Allegro,C
5,53,—,367,61,10,D minor,Allegro,3/8
6,54,—,479,62,11,F major,Allegro,3/8
7,55,—,379,63,12,A minor,Presto,3/8
8,56,—,488,64,13,G minor,Allegro,3/4
9,57,—,413,65,14,D minor,Allegro,6/8
10,58,—,370,66,15,D minor,Presto,3/8
11,59,—,352,67,17,C minor,Allegro,C
12,60,—,489,68,18,G minor,Presto,C
13,61,—,486,69,19,G major,Presto,2/4
14,62,—,387,70,20,G major,Presto,12/8
15,63,—,374,71,21,E minor,Allegro,3/8
16,64,—,397,72,22,B♭ major,Presto,¢
17,65,—,384,73,23,F major,Presto,3/8
18,66,—,416,74,24,D minor,Presto,C
19,67,—,383,75,25,F minor,Allegro,2/4
20,68,—,375,76,26,E major,Presto,2/4
21,69,—,363,77,27,D major,Allegro,3/8
22,70,—,360,78,28,C minor,Allegro,2/4
23,71,—,411,79,29,D major,Allegro,C
24,72,—,495,80,30,A major,Presto,C
25,73,—,481,81,31,F♯ minor,Allegro,2/4
26,74,—,368,82,32,A major,Presto,3/8
27,75,—,449,83,33,B minor,Allegro,3/4
28,76,—,373,84,34,E major,Presto,3/8
29,77,—,461,85,36,D major,Presto,C
30,78,—,499,86,199,G minor,Moderato,6/8
31,37,53,231,19,59,G minor,Allegro,2/4
32,38,—,423,14,—,D minor,Aria,3/8
33,39,39,424,130,58,D major,Allegro,3/8
34,40,—,S7,15,—,D minor,Larghetto,3/4
35,41,—,386,20,35,G minor,Allegro,C
36,42,23,245,91,61,A minor,Allegro,3/8
37,43,37,406,2,62,C minor,Allegro,C
38,44,25,478,97,60,F major,Allegro,3/8
39,45,—,391,53,65,A major,Allegro,C
40,46,—,357,119,—,C minor,Minuetto,3/4
41,47,—,—,37,198,D minor,Andante moderato,C
42,48,—,S36,120,—,B♭ major,Minuetto,3/4
43,79,1,40,133,—,G minor,Allegro assai,12/8
44,80,2,432,116,175,F major,Allegro,3/8
45,81,3,265,230,93,D major,Allegro,12/8
46,82,4,25,179,—,E major,Presto,¢
47,83,5,46,115,—,B♭ major,Presto,C
48,84,6,157,87,—,C minor,Presto,3/8
49,85,7,301,178,—,C major,Presto,¢
50,86,8,440,144,181,F minor,Allegro,3/8
51,87,9,20,151,—,E♭ major,Allegro,C
52,88,10,267,41,—,D minor,Andante moderato,C
53,89,11,261,161,173,D major,Presto,¢
54,90,12,241,147,53,A minor,Allegro,12/8
55,91,13,335,117,161,G major,Allegro,3/8
56,92,14,356,50,57,C minor,Con spirito,12/8
57,93,15,S38,108,—,B♭ major,Allegro,3/8
58,1,16,158,39,—,C minor,—,C
59,2,17,71,22,—,F major,Allegro,C
60,3,18,13,29,—,G minor,—,3/4
61,4,19,136,16,—,A minor,—,2/4
62,5,20,45,49,—,A major,Allegro,3/8
63,6,21,84,32,—,G major,Allegro,2/4
64,7,22,58,33,—,D minor,Allegro,2/4
65,8,24,195,142,—,A major,Allegro,3/8
66,9,26,496,134,98,B♭ major,Allegro,C
67,10,27,32,125,—,F♯ minor,Allegro,C
68,11,28,114,7,—,E♭ major,—,3/8
69,12,29,382,42,115,F minor,—,3/4
70,13,30,50,21,—,B♭ major,—,C
71,14,31,81,17,—,G major,Allegro,C
72,15,32,401,1,—,C major,Allegro,C
73,16,33,217,80,—,C minor,Allegro;Minuetto,3/4;3/8
74,17,34,94,35,—,A major,Allegro,2/4
75,18,35,53,23,—,G major,Allegro,3/4
76,19,36,185,23,—,G minor,Presto,3/8
77,20,38,168,10,—,D minor,Moderato e cantabile;Minuet,3/4;3/8
78,21,40,75,26,—,F major,Gigha;Minuet,2/4;3/8
79,22a,41,80,204,—,G major,Allegrissimo,3/8
80,22b,41,—,28,—,G major,Minuet,3/8
81,23,42,271,13,—,E minor,Grave;Allegro;Grave;Allegro,C;2/4;3/4;3/8
82,24,43,30,25,—,F major,—,3/8
83,25,44,S31,31,—,A major,—;Minuet,¢;3/8
84,26,45,10,45,—,C minor,—,3/4
85,27,46,166,24,—,F major,—,C
86,28,47,403,122,—,C major,Andante moderato,C
87,29,48,33,43,—,B minor,—,3/4
88,30,49,36,8,—,G minor,Grave;Andante moderato;Allegro;Minuet,C;3/8;2/4;3/8
89,31,50,211,12,—,D minor,Allegro;Grave;Allegro,C;3/4;3/8
90,32,—,106,9,—,D minor,Grave;Allegro;Allegro,C;2/4;12/8;3/8
91,33,—,176,11,—,G major,Grave;Allegro;Grave;Allegro,C;2/4;3/4;3/8
92,34,—,362,44,—,D minor,—,3/4
93,35,—,336,38,—,G minor,Fuga,C
94,36,507,—,27,—,F major,Minuet,3/8
95,—,—,358,—,83,C major,—,12/8
96,101,—,465,210,79,D major,Allegro,3/8
97,94,—,—,5,—,G minor,Allegro,3/8
98,95,—,325,219,—,E minor,Allegrissimo,3/8
99,96,—,317,135,—,C minor,Allegro,3/4
100,97,51,355,232,105,C major,Allegrissimo,12/8
101,98,52,494,156,74,A major,Allegro,3/8
102,99,60,89,88,—,G minor,Allegro,3/8
103,100,61,233,233,—,G major,Allegrissimo,12/8
104,102,63,442,109,117,G major,Allegro,3/8
105,103,64,204,90,—,G major,Allegro,3/8
106,104,65,437,197,107,F major,Allegro,¢
107,105,66,474,98,106,F major,Allegro,3/8
108,106,67,249,92,167,G minor,Allegro,3/8
109,107,68,138,290,—,A minor,Adagio,¢
110,108,69,469,129,—,A minor,Allegro,3/8
111,109,70,130,99,—,G minor,Allegro,12/8
112,110,71,298,94,63,B♭ major,Allegro,3/8
113,111,72,345,160,52,A major,Allegro,¢
114,112,73,344,141,—,A major,Con spirito e presto,3/8
115,113,74,407,100,64,C minor,Allegro,3/4
116,114,75,452,111,76,C minor,Allegro,3/8
117,115,76,244,181,108,C major,Allegro,¢
118,116,77,122,266,—,D major,Non presto,¢
119,117,78,415,217,68,D major,Allegro,3/8
120,118,79,215,146,84,D minor,Allegrissimo,12/8
121,119,80,181,93,—,G minor,Allegrissimo,3/8
122,120,81,334,118,—,D major,Allegro,3/8
123,121,82,111,180,—,E♭ major,Allegro,¢
124,122,83,232,110,48,G major,Allegro,3/8
125,123,84,487,152,1,G major,Vivo,3/8
126,124,85,402,128,2,C minor,—,3/8
127,125,86,186,198,3,A♭ major,Allegro,¢
128,126,87,296,199,—,B♭ minor,Allegro,¢
129,127,88,460,148,—,C minor,Allegro,6/8
130,128,89,190,272,—,A♭ major,Allegro,3/8
131,129,90,300,154,4,B♭ minor,Allegro,3/8
132,130,91,457,295,77,C major,Cantabile,3/4
133,131,92,282,218,90,C major,Allegro,3/8
134,132,93,221,143,51,E major,Allegro,2/4
135,133,94,224,234,78,E major,Allegro,6/8
136,134,95,377,113,109,E major,Allegro,3/8
137,135,96,315,231,—,D major,Allegro,6/8
138,136,97,464,95,—,D minor,Allegro,3/8
139,137,138,6,126,—,C minor,Presto,¢
140,138,139,107,127,—,D major,Allegro,C
141,139,508,422,271,118,D minor,Allegro,3/8
142,140,509,—,240,—,F♯ minor,Allegro,12/8
143,141,510,—,267,—,C major,Allegro,3/8
144,142,511,—,316,—,G major,Cantabile,¢
145,143,512,369,105,—,D major,—,3/8
146,144,513,349,106,—,G major,Allegro,3/8
147,145,514,376,48,116,E minor,—,C
148,146,98,64,291,—,A minor,Andante,3/8
149,147,99,93,241,—,A minor,Allegro,C
150,148,100,117,205,—,F major,Allegro,3/8
151,149,101,330,238,—,F major,Andante allegro,3/8
152,150,102,179,114,—,G major,Allegro,3/8
153,151,103,445,235,—,G major,Vivo,12/8
154,152,104,96,183,—,B♭ major,Allegro,¢
155,153,105,197,208,—,B♭ major,Allegro,3/8
156,154,106,101,248,104,C major,Allegro,C
157,155,107,405,391,—,C major,Allegro,3/8
158,156,108,4,123,—,C minor,Andante,3/8
159,157,109,104,418,71,C major,Allegro,6/8
160,158,110,15,131,—,D major,Allegro,C
161,159,111,417,216,—,D major,Allegro,3/8
162,160,112,21,162,—,E major,Andante;Allegro;Allegro,3/4
163,161,113,63,206,—,E major,Allegro,3/8
164,162,114,59,274,—,D major,Andante moderato,3/4
165,163,115,52,292,—,C major,Andante,3/4
166,164,116,51,190,—,C major,Allegro ma non molto,¢
167,166,117,329,200,—,F major,Allegro,3/4
168,165,118,280,182,—,F major,Vivo,¢
169,167,119,331,247,—,G major,Allegro con spirito,C
170,168,120,303,164,—,C major,Andante moderato e cantabile;Allegro,¢
171,169,121,77,153,—,G major,Allegro,3/8
172,170,122,S40,313,112,B♭ major,Allegro,6/8
173,171,123,447,51,179,B minor,Allegro,2/4
174,172,124,410,149,—,C minor,Allegro,6/8
175,173,125,429,136,—,A minor,Allegro,2/4
176,174,126,163,163,111,D minor,Cantabile andante;Allegrissimo,¢;3/8
177,175,127,364,184,—,D major,Andante moderato,¢
178,176,128,162,392,127,D major,Vivo,3/8
179,177,129,177,89,16,G minor,Allegro,3/8
180,178,130,272,192,85,G major,Allegro vivo,¢
181,179,131,194,253,—,A major,—,2/4
182,180,132,139,207,5,A major,Allegro,3/8
183,181,133,473,150,114,F minor,Allegro,2/4
184,182,134,189,102,—,F minor,Allegro,3/8
185,183,135,173,121,—,F minor,Andante,¢
186,184,136,72,46,—,F minor,Allegro,3/8
187,185,137,285,145,—,F minor,Allegro,3/8
188,190,140,239,213,—,A minor,Allegro,3/8
189,195,141,143,257,—,B♭ major,Allegro,3/4
190,196,142,250,256,113,B♭ major,Vivo,12/8
191,200,143,207,18,—,D minor,Allegro,3/4
192,201,144,216,322,102,E♭ major,Allegro,¢
193,202,145,142,254,—,E♭ major,Allegro,3/8
194,203,146,28,479,—,F major,Andante,3/8
195,204,147,S18,185,—,F major,Vivo,¢
196,189,148,38,244,—,G minor,Allegro,2/4
197,194,149,147,124,—,B minor,Andante,C
198,207,150,22,132,—,E minor,Allegro,3/4
199,205,151,253,276,—,C major,Andante moderato,12/8
200,206,152,54,242,—,C major,Allegro,2/4
201,193,153,129,252,180,G major,Vivo,3/4
202,197,488,498,173,110,B♭ major,Allegro;Allegro;Vivo,3/8;6/8;3/8
203,208,489,380,96,—,E minor,Vivo non molto,3/8
204a,209,490,—,170,—,F minor,Allegro;Allegro;Allegrissimo,¢;3/8;6/8
204b,210,491,—,255,—,F minor,Allegro,3/8
205,211,492,S23,171,—,F major,Vivo,¢;12/8
206,218,154,257,307,94,E major,Andante,¢
207,219,155,371,140,—,E major,Allegro,3/8
208,186,156,238,315,—,A major,Adagio e cantabile,C
209,187,157,428,209,—,A major,Allegro,3/8
210,188,158,123,293,—,G major,Andante,3/8
211,191,159,133,277,49,A major,Andantino,¢
212,192,160,135,155,182,A major,Allegro molto,3/8
213,198,161,108,288,—,D minor,Andante,C
214,199,162,165,430,—,D major,Allegro vivo,12/8
215,212,163,323,281,80,E major,Andante,3/4
216,213,164,273,320,66,E major,Allegro,3/4
217,214,165,42,287,—,A minor,Andante,3/4
218,215,166,392,237,101,A minor,Vivo,6/8
219,216,167,393,278,—,A major,Andante,¢
220,217,168,342,309,—,A major,Allegro,3/8
221,220,169,259,215,—,A major,Allegro,3/8
222,221,170,309,236,—,A major,Vivo,6/8
223,222,171,214,188,133,D major,Allegro,¢
224,223,172,268,225,134,D major,Vivo,3/8
225,224,173,351,202,—,C major,Allegro,3/4
226,225,174,112,101,—,C minor,Allegro,3/8
227,226,175,347,52,—,B minor,Allegro,2/4;3/8
228,227,176,399,224,—,B♭ major,Allegro,3/8
229,228,177,199,139,135,B♭ major,Allegro vivo,2/4
